round,team_a,team_b,seed_a,seed_b,score_pred_a,score_pred_b,win_prob_a,win_prob_b,pick,favorite,underdog,upset_prob,underdog_win_prob,pick_rule
5,Tennessee,Miami (FL),3,6,68.17,71.59,0.5442,0.4558,Tennessee,Tennessee,Miami (FL),0.4152,0.4558,win_prob
4,Cincinnati,Tennessee,2,3,75.627,65.031,0.6685,0.3315,Cincinnati,Cincinnati,Tennessee,0.2528,0.3315,win_prob
3,Virginia,Cincinnati,1,2,62.618,65.314,0.493,0.507,Cincinnati,Virginia,Cincinnati,0.4509,0.507,win_prob
7,N.C. Central,Texas Southern,16,16,73.915,67.337,0.5891,0.4109,N.C. Central,Texas Southern,N.C. Central,0.538,0.5891,win_prob
6,Xavier,N.C. Central,1,16,67.578,73.554,0.815,0.185,Xavier,Xavier,N.C. Central,0.1977,0.185,win_prob
6,Missouri,Florida St.,8,9,66.843,80.476,0.3488,0.6512,Florida St.,Missouri,Florida St.,0.5234,0.6512,win_prob
5,Xavier,Florida St.,1,9,70.903,78.168,0.6385,0.3615,Xavier,Xavier,Florida St.,0.3217,0.3615,win_prob
6,Gonzaga,UNC Greensboro,4,13,80.302,63.508,0.8813,0.1187,Gonzaga,Gonzaga,UNC Greensboro,0.0933,0.1187,win_prob
6,Ohio St.,South Dakota St.,5,12,75.51,72.816,0.7289,0.2711,Ohio St.,Ohio St.,South Dakota St.,0.2786,0.2711,win_prob
5,Gonzaga,Ohio St.,4,5,80.713,62.385,0.7548,0.2452,Gonzaga,Gonzaga,Ohio St.,0.1577,0.2452,win_prob
4,Xavier,Gonzaga,1,4,63.376,81.417,0.349,0.651,Gonzaga,Xavier,Gonzaga,0.4764,0.651,win_prob
6,North Carolina,Lipscomb,2,15,83.013,75.055,0.8812,0.1188,North Carolina,North Carolina,Lipscomb,0.124,0.1188,win_prob
6,Texas A&M,Providence,7,10,68.134,69.016,0.5777,0.4223,Texas A&M,Texas A&M,Providence,0.4168,0.4223,win_prob
5,North Carolina,Texas A&M,2,7,78.51,67.45,0.7703,0.2297,North Carolina,North Carolina,Texas A&M,0.1851,0.2297,win_prob
6,Michigan,Montana,3,14,75.253,68.346,0.8462,0.1538,Michigan,Michigan,Montana,0.1574,0.1538,win_prob
6,Houston,San Diego St.,6,11,68.542,65.587,0.682,0.318,Houston,Houston,San Diego St.,0.3143,0.318,win_prob
5,Michigan,Houston,3,6,69.585,69.119,0.5964,0.4036,Michigan,Michigan,Houston,0.3909,0.4036,win_prob
4,North Carolina,Michigan,2,3,75.898,71.042,0.5957,0.4043,North Carolina,North Carolina,Michigan,0.3487,0.4043,win_prob
3,Gonzaga,North Carolina,4,2,78.592,70.643,0.5493,0.4507,Gonzaga,North Carolina,Gonzaga,0.4567,0.5493,win_prob
2,Cincinnati,Gonzaga,2,4,65.125,74.115,0.4367,0.5633,Gonzaga,Cincinnati,Gonzaga,0.4615,0.5633,win_prob
1,Villanova,Gonzaga,1,4,67.001,74.768,0.4846,0.5154,Gonzaga,Villanova,Gonzaga,0.4291,0.5154,win_prob
