round,team_a,team_b,seed_a,seed_b,score_pred_a,score_pred_b,win_prob_a,win_prob_b,pick,favorite,underdog,upset_prob
6,Ohio St.,South Dakota St.,5,12,75.267,72.995,0.7248,0.2752,Ohio St.,Ohio St.,South Dakota St.,0.2849
5,Gonzaga,Ohio St.,4,5,80.713,62.385,0.7548,0.2452,Gonzaga,Gonzaga,Ohio St.,0.1575
4,Xavier,Gonzaga,1,4,63.376,81.417,0.3484,0.6516,Gonzaga,Xavier,Gonzaga,0.4768
6,North Carolina,Lipscomb,2,15,83.08,74.889,0.8825,0.1175,North Carolina,North Carolina,Lipscomb,0.1221
6,Texas A&M,Providence,7,10,68.134,69.016,0.5777,0.4223,Texas A&M,Texas A&M,Providence,0.4167
5,North Carolina,Texas A&M,2,7,78.51,67.45,0.7701,0.2299,North Carolina,North Carolina,Texas A&M,0.1852
6,Michigan,Montana,3,14,75.253,68.346,0.8461,0.1539,Michigan,Michigan,Montana,0.1575
6,Houston,San Diego St.,6,11,68.636,65.437,0.6853,0.3147,Houston,Houston,San Diego St.,0.3097
5,Michigan,Houston,3,6,69.585,69.119,0.5956,0.4044,Michigan,Michigan,Houston,0.3914
4,North Carolina,Michigan,2,3,75.898,71.042,0.5955,0.4045,North Carolina,North Carolina,Michigan,0.3485
3,Gonzaga,North Carolina,4,2,78.592,70.643,0.5485,0.4515,Gonzaga,North Carolina,Gonzaga,0.4556
2,Cincinnati,Gonzaga,2,4,65.125,74.115,0.4374,0.5626,Gonzaga,Cincinnati,Gonzaga,0.4604
1,Villanova,Gonzaga,1,4,67.001,74.768,0.484,0.516,Gonzaga,Villanova,Gonzaga,0.4294
