round,team_a,team_b,seed_a,seed_b,score_pred_a,score_pred_b,win_prob_a,win_prob_b,pick,favorite,underdog,upset_prob,underdog_win_prob,pick_rule
6,Miami (FL),Loyola Chicago,6,11,68.073,67.814,0.6492,0.3508,Loyola Chicago,Miami (FL),Loyola Chicago,0.3625,0.3508,upset_rule
5,Tennessee,Loyola Chicago,3,11,69.974,73.135,0.6877,0.3123,Tennessee,Tennessee,Loyola Chicago,0.3115,0.3123,win_prob
4,Cincinnati,Tennessee,2,3,75.627,65.031,0.6685,0.3315,Cincinnati,Cincinnati,Tennessee,0.2528,0.3315,win_prob
3,Kentucky,Cincinnati,5,2,73.228,72.088,0.4267,0.5733,Kentucky,Cincinnati,Kentucky,0.4035,0.4267,upset_rule
7,N.C. Central,Texas Southern,16,16,73.668,67.405,0.5849,0.4151,N.C. Central,Texas Southern,N.C. Central,0.5366,0.5849,upset_rule
6,Xavier,N.C. Central,1,16,67.645,73.308,0.8176,0.1824,Xavier,Xavier,N.C. Central,0.1968,0.1824,win_prob
6,Missouri,Florida St.,8,9,66.843,80.476,0.3488,0.6512,Florida St.,Missouri,Florida St.,0.5234,0.6512,upset_rule
5,Xavier,Florida St.,1,9,70.903,78.168,0.6385,0.3615,Florida St.,Xavier,Florida St.,0.3217,0.3615,upset_rule
6,Gonzaga,UNC Greensboro,4,13,79.852,64.069,0.8754,0.1246,Gonzaga,Gonzaga,UNC Greensboro,0.1003,0.1246,win_prob
6,Ohio St.,South Dakota St.,5,12,75.267,72.995,0.7243,0.2757,Ohio St.,Ohio St.,South Dakota St.,0.2854,0.2757,win_prob
5,Gonzaga,Ohio St.,4,5,80.713,62.385,0.7548,0.2452,Gonzaga,Gonzaga,Ohio St.,0.1577,0.2452,win_prob
4,Florida St.,Gonzaga,9,4,68.824,79.601,0.2325,0.7675,Gonzaga,Gonzaga,Florida St.,0.1925,0.2325,win_prob
6,North Carolina,Lipscomb,2,15,83.08,74.889,0.8825,0.1175,North Carolina,North Carolina,Lipscomb,0.122,0.1175,win_prob
6,Texas A&M,Providence,7,10,68.134,69.016,0.5777,0.4223,Providence,Texas A&M,Providence,0.4168,0.4223,upset_rule
5,North Carolina,Providence,2,10,77.846,67.668,0.8207,0.1793,North Carolina,North Carolina,Providence,0.1571,0.1793,win_prob
6,Michigan,Montana,3,14,75.253,68.346,0.8462,0.1538,Michigan,Michigan,Montana,0.1574,0.1538,win_prob
6,Houston,San Diego St.,6,11,68.636,65.437,0.6849,0.3151,Houston,Houston,San Diego St.,0.3101,0.3151,win_prob
5,Michigan,Houston,3,6,69.585,69.119,0.5964,0.4036,Houston,Michigan,Houston,0.3909,0.4036,upset_rule
4,North Carolina,Houston,2,6,75.705,70.383,0.6849,0.3151,North Carolina,North Carolina,Houston,0.2821,0.3151,win_prob
3,Gonzaga,North Carolina,4,2,78.592,70.643,0.5493,0.4507,Gonzaga,North Carolina,Gonzaga,0.4567,0.5493,upset_rule
2,Kentucky,Gonzaga,5,4,71.187,79.037,0.3655,0.6345,Kentucky,Gonzaga,Kentucky,0.3018,0.3655,upset_rule
1,Florida,Kentucky,6,5,73.722,76.37,0.4334,0.5666,Florida,Kentucky,Florida,0.3985,0.4334,upset_rule
