opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Louisiana Tech,11/06/2019,49,82,Home,,,1027,366,2020,26172
Vanderbilt,11/11/2019,66,71,Away,,,8300,736,2020,26172
Stony Brook,11/15/2019,63,68,Home,,,1078,683,2020,26172
North Dakota St.,11/16/2019,45,57,Home,,,1108,493,2020,26172
UTRGV,11/17/2019,63,55,Home,,,978,536,2020,26172
St. Thomas (TX),11/23/2019,69,59,Home,,,1005,2810,2020,26172
UTRGV,11/30/2019,55,52,Away,,,1093,536,2020,26172
UTSA,12/03/2019,67,89,Away,,,939,706,2020,26172
St. Mary's (TX),12/07/2019,81,53,Home,,,975,1346,2020,26172
Texas A&M,12/15/2019,60,63,Away,,,5846,697,2020,26172
Nicholls St.,12/18/2019,58,64,Away,,,360,483,2020,26172
Central Ark.,12/21/2019,67,71,Away,,,207,1004,2020,26172
Nebraska,12/29/2019,52,73,Away,,,14968,463,2020,26172
Northwestern St.,01/02/2020,67,62,Home,,,1237,508,2020,26172
Southeastern La.,01/04/2020,80,84,Home,,,1107,655,2020,26172
SFA,01/08/2020,73,72,Away,,,2822,676,2020,26172
Abilene Christian,01/11/2020,56,68,Away,,,1011,2,2020,26172
Southeastern La.,01/15/2020,56,62,Away,,,570,655,2020,26172
Lamar University,01/18/2020,64,58,Home,,,1711,346,2020,26172
New Orleans,01/22/2020,74,71,Home,,,1438,474,2020,26172
Incarnate Word,01/25/2020,68,47,Away,,,444,2743,2020,26172
Sam Houston St.,01/29/2020,61,80,Away,,,1029,624,2020,26172
Houston Baptist,02/01/2020,77,82,Away,,,802,287,2020,26172
McNeese,02/05/2020,69,62,Home,,,1400,402,2020,26172
SFA,02/12/2020,67,75,Home,,,1537,676,2020,26172
Abilene Christian,02/15/2020,64,78,Home,,,1259,2,2020,26172
Lamar University,02/22/2020,62,79,Away,,,2841,346,2020,26172
New Orleans,02/26/2020,81,75,Away,,,364,474,2020,26172
Incarnate Word,02/29/2020,78,70,Home,,,2678,2743,2020,26172
Sam Houston St.,03/04/2020,74,60,Home,,,1202,624,2020,26172
Houston Baptist,03/07/2020,84,78,Home,,,1637,287,2020,26172
Northwestern St.,03/11/2020,62,79,Neutral,"Katy, TX",,0,508,2020,26172
Arlington Baptist,11/05/2019,90,39,Home,,,1439,,2020,2
Drexel,11/10/2019,83,86,Away,,1 OT,795,191,2020,2
