player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Rollison, Will",Jr.,2017-18,G,73,10,4,11,0.364,0,5,0.000,0,0,,8,0.800,3,0.300,0,,2,0.200,8,0.800,3,0,0,1747555,2018,30170
"Spencer, Owen",Fr.,2017-18,G,72,25,34,84,0.405,6,26,0.231,29,39,0.744,64,2.560,49,1.960,2,0.080,14,0.560,103,4.120,45,0,0,1970833,2018,30170
"Tash, Devon",So.,2017-18,G,73,9,6,18,0.333,0,4,0.000,7,13,0.538,11,1.222,5,0.556,1,0.111,3,0.333,19,2.111,10,0,0,1859880,2018,30170
"Toliver, Juwan",Jr.,2017-18,G,70,25,99,221,0.448,9,22,0.409,44,72,0.611,145,5.800,157,6.280,12,0.480,57,2.280,251,10.040,90,3,0,1753721,2018,30170
"Touray, Famara",Fr.,2017-18,G,73,8,6,8,0.750,1,2,0.500,5,8,0.625,5,0.625,2,0.250,1,0.125,1,0.125,18,2.250,4,0,0,1971321,2018,30170
"Dougherty, Sean",Sr.,2017-18,F,79,23,24,56,0.429,0,0,,12,24,0.500,62,2.696,5,0.217,4,0.174,2,0.087,60,2.609,13,0,0,1855049,2018,19
"Frisina, Antonio",So.,2017-18,G,72,14,7,22,0.318,0,6,0.000,5,12,0.417,43,3.071,24,1.714,3,0.214,15,1.071,19,1.357,31,0,0,1742012,2018,19
"Kirkman, Nijon",Fr.,2017-18,F,77,25,57,156,0.365,3,29,0.103,14,23,0.609,95,3.800,28,1.120,9,0.360,8,0.320,131,5.240,28,0,0,1970585,2018,19
"Nee, Jamison",So.,2017-18,G,73,12,43,127,0.339,17,70,0.243,17,28,0.607,38,3.167,22,1.833,1,0.083,22,1.833,120,10.000,29,0,0,1855050,2018,19
"Newland, Baron",Fr.,2017-18,G,73,13,9,23,0.391,7,19,0.368,0,0,,2,0.154,0,,0,,1,0.077,25,1.923,3,0,0,1970558,2018,19
"O'Toole, Brendan",So.,2017-18,F,77,25,45,123,0.366,1,4,0.250,14,37,0.378,91,3.640,35,1.400,15,0.600,14,0.560,105,4.200,37,0,0,1855053,2018,19
"Pateras, Zach",So.,2017-18,G,71,24,32,108,0.296,24,82,0.293,5,10,0.500,33,1.375,16,0.667,1,0.042,8,0.333,93,3.875,12,0,0,1855054,2018,19
"Rawls, Jordan",So.,2017-18,F,78,25,156,314,0.497,41,103,0.398,62,81,0.765,157,6.280,31,1.240,16,0.640,12,0.480,415,16.600,49,4,0,1855058,2018,19
"Shedd, Zach",So.,2017-18,C,81,23,24,43,0.558,0,0,,19,41,0.463,73,3.174,15,0.652,25,1.087,2,0.087,67,2.913,15,0,0,1855055,2018,19
"Strobridge, Tavian",Fr.,2017-18,G,74,13,16,44,0.364,6,21,0.286,14,17,0.824,15,1.154,3,0.231,0,,3,0.231,52,4.000,7,0,0,1970588,2018,19
"Szabo, Sean",Fr.,2017-18,F,76,13,8,19,0.421,4,12,0.333,0,0,,5,0.385,1,0.077,2,0.154,0,,20,1.538,4,0,0,1970586,2018,19
"Todd, Lamar",Fr.,2017-18,G,74,25,62,197,0.315,14,36,0.389,36,43,0.837,108,4.320,39,1.560,10,0.400,15,0.600,174,6.960,36,0,0,1970587,2018,19
