player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Young, Trevon",Sr.,2017-18,C,77,33,222,407,0.545,7,23,0.304,121,161,0.752,308,9.333,79,2.394,3,0.091,32,0.970,572,17.333,69,13,0,1629284,2018,208
"Zabilevicius, Paulius",Sr.,2017-18,F,80,33,28,69,0.406,6,26,0.231,18,29,0.621,68,2.061,35,1.061,8,0.242,9,0.273,80,2.424,29,0,0,1848381,2018,208
"Anderson, Arik",Sr.,2017-18,F,76,27,49,138,0.355,28,77,0.364,29,33,0.879,42,1.556,24,0.889,1,0.037,8,0.296,155,5.741,23,0,0,1631482,2018,1066
"Anhold, Adam",Fr.,2017-18,C,80,2,0,1,0.000,0,1,0.000,0,0,,1,0.500,0,,0,,0,,0,,1,0,0,1974923,2018,1066
"Buss, Ryan",Fr.,2017-18,F,78,19,2,11,0.182,0,1,0.000,1,2,0.500,13,0.684,1,0.053,0,,1,0.053,5,0.263,1,0,0,1962955,2018,1066
"Fox, Sam",Jr.,2017-18,F,79,10,2,5,0.400,0,0,,1,3,0.333,9,0.900,0,,0,,1,0.100,5,0.500,4,0,0,1742716,2018,1066
"Freitag, Drew",Fr.,2017-18,G,70,8,7,19,0.368,7,14,0.500,1,2,0.500,0,,3,0.375,0,,1,0.125,22,2.750,6,0,0,1962992,2018,1066
"Geiger, Kyle",Jr.,2017-18,F,75,18,13,29,0.448,3,14,0.214,2,2,1.000,19,1.056,4,0.222,0,,0,,31,1.722,1,0,0,1850057,2018,1066
"Graf, Jake",Fr.,2017-18,G,72,7,2,5,0.400,1,2,0.500,1,4,0.250,0,,0,,0,,0,,6,0.857,1,0,0,1962994,2018,1066
"Holzman, Caleb",Fr.,2017-18,F,78,5,0,1,0.000,0,0,,0,0,,0,,0,,0,,1,0.200,0,,0,0,0,1962993,2018,1066
"Kell, Travis",Sr.,2017-18,F,78,25,173,350,0.494,8,32,0.250,50,74,0.676,191,7.640,39,1.560,27,1.080,25,1.000,404,16.160,76,7,0,1519678,2018,1066
"Lemke, Tyler",Jr.,2017-18,F,77,13,33,74,0.446,3,8,0.375,8,15,0.533,35,2.692,24,1.846,9,0.692,4,0.308,77,5.923,20,0,0,1742717,2018,1066
"Lynch, Nick",Fr.,2017-18,F,76,1,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,1962997,2018,1066
"Miller, Jacob",So.,2017-18,F,76,27,10,39,0.256,4,23,0.174,9,13,0.692,46,1.704,29,1.074,0,,13,0.481,33,1.222,21,0,0,1850059,2018,1066
"Negus, Jake",Fr.,2017-18,G,73,27,97,256,0.379,47,130,0.362,81,107,0.757,104,3.852,63,2.333,4,0.148,13,0.481,322,11.926,46,1,0,1962990,2018,1066
"Noyce, Sam",So.,2017-18,G,73,12,5,16,0.313,0,0,,9,10,0.900,5,0.417,4,0.333,0,,1,0.083,19,1.583,1,0,0,1854783,2018,1066
"Radisevic, Emil",Jr.,2017-18,C,78,26,111,204,0.544,3,6,0.500,61,80,0.763,165,6.346,34,1.308,6,0.231,10,0.385,286,11.000,39,3,0,1742718,2018,1066
"Reuteman, Charlie",Jr.,2017-18,G,71,13,0,2,0.000,0,0,,0,0,,0,,1,0.077,0,,2,0.154,0,,0,0,0,1742720,2018,1066
"Schwartz, Will",Fr.,2017-18,G,74,6,1,1,1.000,0,0,,0,1,0.000,1,0.167,1,0.167,0,,1,0.167,2,0.333,0,0,0,1962995,2018,1066
"Seefeld, Ben",Fr.,2017-18,F,76,27,84,162,0.519,3,7,0.429,42,50,0.840,71,2.630,5,0.185,3,0.111,6,0.222,213,7.889,25,0,0,1962996,2018,1066
"Staver, Sy",Jr.,2017-18,G,73,27,59,162,0.364,20,70,0.286,36,58,0.621,71,2.630,108,4.000,2,0.074,26,0.963,174,6.444,31,0,0,1742750,2018,1066
"Steffens, Mcclain",Jr.,2017-18,G,75,27,37,95,0.389,11,48,0.229,25,33,0.758,69,2.556,49,1.815,1,0.037,14,0.519,110,4.074,32,0,0,1742721,2018,1066
"Wand, Noah",Fr.,2017-18,F,77,1,0,1,0.000,0,1,0.000,0,0,,1,1.000,0,,0,,0,,0,,0,0,0,1962999,2018,1066
"Baston, Maceo",Sr.,2017-18,F,77,15,12,26,0.462,1,4,0.250,12,14,0.857,19,1.267,6,0.400,1,0.067,4,0.267,37,2.467,8,0,0,1845508,2018,209
"Beck, Mike",Sr.,2017-18,F,76,29,70,189,0.370,41,109,0.376,3,7,0.429,61,2.103,41,1.414,3,0.103,16,0.552,184,6.345,28,0,0,1623588,2018,209
"Coleman, Anthony",Jr.,2017-18,G,75,29,156,360,0.433,72,174,0.414,58,68,0.853,130,4.483,58,2.000,5,0.172,37,1.276,442,15.241,66,1,0,1964417,2018,209
"Frank, Jack",Jr.,2017-18,C,80,29,24,63,0.381,0,0,,18,36,0.500,169,5.828,18,0.621,29,1.000,4,0.138,66,2.276,25,0,0,1845509,2018,209
"Jay, Alex",Fr.,2017-18,G,75,29,38,88,0.432,20,54,0.370,5,5,1.000,45,1.552,29,1.000,7,0.241,9,0.310,101,3.483,15,0,0,1958812,2018,209
"Liggins, Keshawn",Jr.,2017-18,G,77,29,247,502,0.492,48,130,0.369,149,189,0.788,303,10.448,94,3.241,4,0.138,34,1.172,691,23.828,54,17,0,1847153,2018,209
"Mason, Jaymon",Sr.,2017-18,G,75,29,153,388,0.394,71,188,0.378,96,119,0.807,124,4.276,99,3.414,3,0.103,21,0.724,473,16.310,52,0,0,1513877,2018,209
"Simpson, Jaryn",Fr.,2017-18,G,73,29,33,81,0.407,15,45,0.333,17,19,0.895,39,1.345,52,1.793,6,0.207,15,0.517,98,3.379,37,0,0,1958813,2018,209
"Sims, Jr., Mike",Jr.,2017-18,G,72,16,3,17,0.176,0,3,0.000,3,9,0.333,11,0.688,12,0.750,1,0.063,2,0.125,9,0.563,11,0,0,1749330,2018,209
"Staunch, Trey",Jr.,2017-18,F,76,26,71,129,0.550,0,0,,66,78,0.846,95,3.654,18,0.692,3,0.115,8,0.308,208,8.000,21,1,0,1969338,2018,209
"Allen, Joseph",So.,2017-18,C,80,19,55,99,0.556,0,5,0.000,14,30,0.467,76,4.000,8,0.421,10,0.526,16,0.842,124,6.526,30,0,0,1960621,2018,210
"Brown, Jermaine",Sr.,2017-18,F,78,23,24,70,0.343,0,3,0.000,12,30,0.400,70,3.043,10,0.435,19,0.826,18,0.783,60,2.609,27,0,0,1518866,2018,210
"Daniels, Shykeef",---,2017-18,F,,1,4,11,0.364,1,2,0.500,0,0,,4,4.000,0,,0,,1,1.000,9,9.000,0,0,0,1992359,2018,210
"Daniels, Aujameq",Fr.,2017-18,G,76,26,77,150,0.513,26,55,0.473,34,54,0.630,93,3.577,20,0.769,13,0.500,23,0.885,214,8.231,22,0,0,1960628,2018,210
"Faison, Justin",Fr.,2017-18,G,71,19,27,72,0.375,11,43,0.256,30,42,0.714,17,0.895,18,0.947,0,,10,0.526,95,5.000,29,0,0,1960617,2018,210
"Hobbs, Zacchues",Fr.,2017-18,G,72,27,104,266,0.391,57,162,0.352,91,117,0.778,72,2.667,95,3.519,2,0.074,37,1.370,356,13.185,39,0,0,1960616,2018,210
"Land, Tioreon",---,2017-18,,,19,11,46,0.239,2,14,0.143,5,10,0.500,11,0.579,13,0.684,0,,6,0.316,29,1.526,15,0,0,1857640,2018,210
"Maynor, John",So.,2017-18,F,77,26,99,268,0.369,55,175,0.314,30,45,0.667,85,3.269,53,2.038,5,0.192,40,1.538,283,10.885,35,0,0,1857639,2018,210
"McCowan, Semaj",Fr.,2017-18,G,74,1,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,1960620,2018,210
"Mendez, Corey",Jr.,2017-18,G,73,27,83,172,0.483,7,24,0.292,34,57,0.596,88,3.259,72,2.667,20,0.741,27,1.000,207,7.667,52,0,0,1960619,2018,210
"Petteway, Shyheid",Jr.,2017-18,G,74,27,95,229,0.415,38,103,0.369,108,143,0.755,101,3.741,30,1.111,6,0.222,33,1.222,336,12.444,44,0,0,1857635,2018,210
"Robinson, Orlando",Fr.,2017-18,G,72,21,12,28,0.429,3,7,0.429,6,8,0.750,11,0.524,6,0.286,0,,3,0.143,33,1.571,8,0,0,1960633,2018,210
"Roddy, Brandon",So.,2017-18,G,72,4,0,2,0.000,0,2,0.000,2,2,1.000,5,1.250,0,,0,,0,,2,0.500,0,0,0,1740223,2018,210
"Wallace, Jason",Jr.,2017-18,C,81,1,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,1960624,2018,210
"Wesley, Marcus",Fr.,2017-18,G,77,25,18,39,0.462,2,11,0.182,4,6,0.667,43,1.720,9,0.360,8,0.320,6,0.240,42,1.680,14,0,0,1960618,2018,210
"Woods, Charles",Jr.,2017-18,F,77,27,57,118,0.483,17,49,0.347,12,22,0.545,97,3.593,5,0.185,10,0.370,10,0.370,143,5.296,10,0,0,1960632,2018,210
"Baker, Brody",Fr.,2017-18,G,71,11,2,12,0.167,1,9,0.111,0,0,,3,0.273,2,0.182,0,,2,0.182,5,0.455,1,0,0,1966328,2018,211
"Berry, Brandon",Jr.,2017-18,G,72,24,58,139,0.417,20,47,0.426,48,61,0.787,50,2.083,44,1.833,1,0.042,18,0.750,184,7.667,33,0,0,1728144,2018,211
"Brickman, Matt",Sr.,2017-18,F,78,19,10,20,0.500,0,0,,1,5,0.200,17,0.895,4,0.211,1,0.053,3,0.158,21,1.105,7,0,0,1966348,2018,211
"Christ, Josh",Jr.,2017-18,F,75,23,27,76,0.355,6,33,0.182,2,2,1.000,45,1.957,12,0.522,7,0.304,3,0.130,62,2.696,8,0,0,1863785,2018,211
"DuBois, Ethan",So.,2017-18,G,71,24,73,197,0.371,22,72,0.306,22,41,0.537,73,3.042,90,3.750,4,0.167,26,1.083,190,7.917,72,0,0,1860158,2018,211
"Greene, Bryce",So.,2017-18,G,74,24,165,327,0.505,64,153,0.418,30,54,0.556,106,4.417,32,1.333,7,0.292,17,0.708,424,17.667,49,0,0,1860157,2018,211
"Jackson, Will",Sr.,2017-18,G,72,4,2,3,0.667,1,1,1.000,2,2,1.000,4,1.000,1,0.250,0,,0,,7,1.750,3,0,0,1860160,2018,211
"McLaughlin III, Hugh",Jr.,2017-18,G,72,5,0,1,0.000,0,0,,0,0,,0,,0,,1,0.200,1,0.200,0,,0,0,0,1966345,2018,211
"Moffatt, Connor",So.,2017-18,F,76,23,127,238,0.534,33,89,0.371,57,87,0.655,226,9.826,40,1.739,17,0.739,34,1.478,344,14.957,26,11,0,1860159,2018,211
"Pastore, Michael",Jr.,2017-18,G,68,23,79,200,0.395,39,103,0.379,40,54,0.741,64,2.783,72,3.130,4,0.174,22,0.957,237,10.304,50,0,0,1860156,2018,211
"Pines-Elliott, Jalil",Jr.,2017-18,G,67,8,0,1,0.000,0,0,,3,5,0.600,2,0.250,1,0.125,0,,0,,3,0.375,1,0,0,1743361,2018,211
"Pines-Elliott, Jamil",Jr.,2017-18,G,68,24,13,42,0.310,2,4,0.500,12,26,0.462,25,1.042,13,0.542,1,0.042,19,0.792,40,1.667,18,0,0,1743360,2018,211
"Sutton, Justin",So.,2017-18,F,77,11,5,13,0.385,0,0,,0,0,,10,0.909,1,0.091,5,0.455,0,,10,0.909,1,0,0,1860161,2018,211
"Thomas, Matt",Jr.,2017-18,F,76,24,76,134,0.567,0,0,,30,49,0.612,102,4.250,33,1.375,18,0.750,19,0.792,182,7.583,42,0,0,1860162,2018,211
"Thompson, Liam",Fr.,2017-18,G,73,11,5,16,0.313,0,4,0.000,1,4,0.250,4,0.364,3,0.273,1,0.091,8,0.727,11,1.000,6,0,0,1966346,2018,211
"Turco, Ryan",So.,2017-18,G,72,5,0,2,0.000,0,2,0.000,0,0,,0,,0,,0,,0,,0,,0,0,0,1966329,2018,211
"Auker, Brandon",Sr.,2017-18,G,70,17,15,45,0.333,8,26,0.308,10,13,0.769,11,0.647,12,0.706,0,,7,0.412,48,2.824,11,0,0,1649265,2018,212
"Bomstad, Colin",So.,2017-18,G,72,10,11,26,0.423,4,17,0.235,4,4,1.000,6,0.600,3,0.300,0,,1,0.100,30,3.000,1,0,0,1856305,2018,212
"Brown, Austin",So.,2017-18,F,77,1,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,1856304,2018,212
"Dotlich, Derek",So.,2017-18,G,75,25,78,191,0.408,44,122,0.361,53,63,0.841,83,3.320,39,1.560,3,0.120,6,0.240,253,10.120,34,0,0,1856301,2018,212
"Fox, Justin",Fr.,2017-18,F,77,25,59,116,0.509,5,27,0.185,20,28,0.714,77,3.080,23,0.920,4,0.160,10,0.400,143,5.720,22,0,0,1965652,2018,212
"Gardner, Lance",Jr.,2017-18,F,79,25,68,171,0.398,17,56,0.304,41,55,0.745,109,4.360,40,1.600,8,0.320,17,0.680,194,7.760,43,0,0,1965663,2018,212
"Hubly, Brad",So.,2017-18,G,75,6,4,5,0.800,3,3,1.000,1,2,0.500,3,0.500,0,,1,0.167,0,,12,2.000,1,0,0,1856302,2018,212
"Ireland, Jeremy",Jr.,2017-18,F,79,25,139,267,0.521,15,33,0.455,78,97,0.804,213,8.520,45,1.800,11,0.440,16,0.640,371,14.840,53,12,0,1636622,2018,212
"Jackson, Arthur",So.,2017-18,G,68,16,2,7,0.286,0,3,0.000,6,7,0.857,5,0.313,18,1.125,0,,5,0.313,10,0.625,6,0,0,1856298,2018,212
"Lyles, Will",So.,2017-18,F,77,6,2,3,0.667,0,0,,0,0,,3,0.500,1,0.167,1,0.167,0,,4,0.667,1,0,0,1856300,2018,212
"Marakis, Pavlos",Jr.,2017-18,F,79,20,30,56,0.536,0,0,,7,13,0.538,87,4.350,23,1.150,9,0.450,6,0.300,67,3.350,36,0,0,1742456,2018,212
"Patton, Ryan",So.,2017-18,G,74,25,94,201,0.468,47,109,0.431,33,46,0.717,66,2.640,35,1.400,4,0.160,8,0.320,268,10.720,33,0,0,1856299,2018,212
"Perry, Nick",Fr.,2017-18,G,71,14,10,33,0.303,0,6,0.000,1,2,0.500,10,0.714,18,1.286,0,,6,0.429,21,1.500,10,0,0,1965646,2018,212
"Rhode, Jake",Fr.,2017-18,G,70,25,110,269,0.409,49,141,0.348,64,79,0.810,68,2.720,128,5.120,2,0.080,35,1.400,333,13.320,55,1,0,1856295,2018,212
"Sampson, Peyton",Fr.,2017-18,C,76,20,22,35,0.629,0,0,,12,29,0.414,47,2.350,7,0.350,2,0.100,13,0.650,56,2.800,11,0,0,1970192,2018,212
"Thomas, Lavon",Fr.,2017-18,F,77,16,54,113,0.478,5,11,0.455,23,37,0.622,64,4.000,17,1.063,8,0.500,7,0.438,136,8.500,34,0,0,1965651,2018,212
"Turner, Tyler",Jr.,2017-18,F,77,9,5,14,0.357,1,3,0.333,1,2,0.500,10,1.111,7,0.778,1,0.111,2,0.222,12,1.333,6,0,0,1856296,2018,212
"Abate, Anthony",Jr.,2017-18,G,75,20,14,38,0.368,6,21,0.286,11,13,0.846,22,1.100,6,0.300,0,,1,0.050,45,2.250,10,0,0,1742906,2018,213
"Adelson, Jesse",So.,2017-18,G,71,25,88,228,0.386,55,137,0.401,51,72,0.708,81,3.240,24,0.960,0,,18,0.720,282,11.280,36,0,0,1860886,2018,213
"Amoddio, Joseph",Fr.,2017-18,F,78,23,16,32,0.500,0,0,,5,19,0.263,34,1.478,6,0.261,4,0.174,4,0.174,37,1.609,10,0,0,1969557,2018,213
"Backus, Shawn",Fr.,2017-18,F,76,19,55,102,0.539,4,5,0.800,20,33,0.606,69,3.632,18,0.947,8,0.421,10,0.526,134,7.053,19,1,0,1969554,2018,213
"Bischoff, Paul",Sr.,2017-18,F,75,19,3,13,0.231,1,5,0.200,3,4,0.750,7,0.368,1,0.053,0,,0,,10,0.526,2,0,0,1633896,2018,213
"Charles, Isiah",Fr.,2017-18,G,70,22,22,65,0.338,10,26,0.385,8,8,1.000,13,0.591,16,0.727,0,,6,0.273,62,2.818,13,0,0,1969553,2018,213
"Cuffee, Henry",Jr.,2017-18,F,76,23,161,322,0.500,17,56,0.304,34,51,0.667,181,7.870,40,1.739,30,1.304,18,0.783,373,16.217,53,9,0,1742930,2018,213
"Every, Jeremy",So.,2017-18,G,71,25,101,204,0.495,1,10,0.100,65,78,0.833,73,2.920,43,1.720,6,0.240,12,0.480,268,10.720,36,0,0,1860546,2018,213
"Funderburk, Jacob",Fr.,2017-18,F,75,11,0,1,0.000,0,0,,0,0,,8,0.727,2,0.182,0,,0,,0,,3,0,0,1969530,2018,213
"Harkins, Hayden",Sr.,2017-18,F,76,22,89,219,0.406,78,198,0.394,10,13,0.769,60,2.727,21,0.955,1,0.045,6,0.273,266,12.091,26,0,0,1633897,2018,213
"Ischiropoulos, Alex",So.,2017-18,G,74,21,27,90,0.300,23,69,0.333,11,12,0.917,18,0.857,12,0.571,0,,5,0.238,88,4.190,17,0,0,1860889,2018,213
"McCreery, Kyle",So.,2017-18,F,80,19,22,70,0.314,9,39,0.231,5,7,0.714,31,1.632,1,0.053,1,0.053,4,0.211,58,3.053,8,0,0,1860547,2018,213
"Perez, Darien",Fr.,2017-18,G,74,3,0,1,0.000,0,0,,0,0,,1,0.333,0,,0,,0,,0,,0,0,0,1969552,2018,213
"Porrett, Justin",Jr.,2017-18,G,72,24,107,255,0.420,15,59,0.254,66,107,0.617,148,6.167,212,8.833,2,0.083,36,1.500,295,12.292,61,5,1,1742907,2018,213
"Rosen, Alex",Jr.,2017-18,G,75,2,0,3,0.000,0,0,,0,0,,2,1.000,0,,0,,0,,0,,0,0,0,1742952,2018,213
"Ryan, Andrew",Fr.,2017-18,G,71,9,4,15,0.267,0,4,0.000,12,18,0.667,6,0.667,7,0.778,0,,3,0.333,20,2.222,2,0,0,1969529,2018,213
"Weir, Mason",Fr.,2017-18,G,73,22,36,94,0.383,23,58,0.397,19,30,0.633,43,1.955,15,0.682,0,,13,0.591,114,5.182,19,0,0,1969555,2018,213
"Bayles, Dylan",Fr.,2017-18,G,71,7,10,33,0.303,0,2,0.000,15,18,0.833,16,2.286,18,2.571,0,,8,1.143,35,5.000,18,0,0,1970410,2018,532
"Brown, Nikolas",Fr.,2017-18,G,76,26,45,117,0.385,13,47,0.277,19,43,0.442,95,3.654,18,0.692,5,0.192,12,0.462,122,4.692,52,0,0,1970411,2018,532
"Ceus, Chris",Sr.,2017-18,F,75,18,16,41,0.390,2,14,0.143,13,20,0.650,40,2.222,13,0.722,4,0.222,5,0.278,47,2.611,22,0,0,1635490,2018,532
"Connolly, Chris",Sr.,2017-18,G,77,12,1,7,0.143,1,5,0.200,1,2,0.500,9,0.750,0,,0,,1,0.083,4,0.333,2,0,0,1746988,2018,532
"Cousar, Deangelo",So.,2017-18,G,78,26,86,224,0.384,28,84,0.333,30,48,0.625,118,4.538,9,0.346,6,0.231,9,0.346,230,8.846,25,0,0,1860625,2018,532
"Douglas, Spencer",So.,2017-18,G,75,13,14,38,0.368,12,36,0.333,0,0,,16,1.231,3,0.231,3,0.231,5,0.385,40,3.077,14,0,0,1861477,2018,532
"Edelen, D.J.",Fr.,2017-18,G,75,23,42,144,0.292,24,77,0.312,19,26,0.731,88,3.826,17,0.739,8,0.348,10,0.435,127,5.522,40,0,0,1970407,2018,532
"Fernandez, Diomanni",So.,2017-18,G,74,19,38,118,0.322,15,57,0.263,23,27,0.852,46,2.421,8,0.421,2,0.105,12,0.632,114,6.000,30,0,0,1860626,2018,532
"Guardia, Pablo",---,2017-18,,,3,0,0,,0,0,,0,0,,1,0.333,0,,0,,0,,0,,2,0,0,1993339,2018,532
"Jean Charles, Robert",Fr.,2017-18,F,75,23,19,35,0.543,0,1,0.000,7,13,0.538,57,2.478,8,0.348,3,0.130,7,0.304,45,1.957,7,0,0,1970533,2018,532
"King, Keeshaun",Sr.,2017-18,G,73,19,23,77,0.299,5,24,0.208,7,15,0.467,56,2.947,45,2.368,1,0.053,21,1.105,58,3.053,30,0,0,1635480,2018,532
"Metelus, Greg",---,2017-18,,,18,97,235,0.413,18,58,0.310,37,52,0.712,70,3.889,39,2.167,6,0.333,24,1.333,249,13.833,72,2,0,1977034,2018,532
"Momperus, Wesner",Fr.,2017-18,,,9,4,9,0.444,0,0,,2,4,0.500,14,1.556,4,0.444,3,0.333,0,,10,1.111,9,0,0,1877457,2018,532
"Ohradka, Michal",Fr.,2017-18,G,72,26,68,207,0.329,22,77,0.286,54,72,0.750,56,2.154,48,1.846,4,0.154,21,0.808,212,8.154,80,0,0,1970402,2018,532
"Ortiz, Pablo",So.,2017-18,F,75,26,55,127,0.433,28,70,0.400,22,29,0.759,118,4.538,16,0.615,5,0.192,6,0.231,160,6.154,21,1,0,1970401,2018,532
"Peguero, Andre",Fr.,2017-18,F,80,21,41,74,0.554,0,2,0.000,18,24,0.750,80,3.810,10,0.476,14,0.667,4,0.190,100,4.762,28,1,0,1970408,2018,532
"Ramos, Reinieri",Fr.,2017-18,G,73,9,2,17,0.118,1,14,0.071,2,2,1.000,5,0.556,0,,0,,3,0.333,7,0.778,3,0,0,1970650,2018,532
"Sterling, Tyler",Fr.,2017-18,G,75,26,28,59,0.475,1,3,0.333,13,23,0.565,24,0.923,20,0.769,3,0.115,12,0.462,70,2.692,43,0,0,1970344,2018,532
"Anton, Jack",Sr.,2017-18,F,80,11,4,7,0.571,1,3,0.333,4,7,0.571,9,0.818,1,0.091,0,0.000,0,0.000,13,1.182,0,0,0,1635890,2018,1068
"Chester, Maxwell",So.,2017-18,G,73,1,0,1,0.000,0,0,0.000,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0,0,1852129,2018,1068
"Dawkins, Brian",Sr.,2017-18,F,80,29,142,288,0.493,38,117,0.325,31,51,0.608,157,5.414,34,1.172,8,0.276,11,0.379,353,12.172,36,2,0,1515873,2018,1068
"Eberhardt, Sheldon",Jr.,2017-18,G,77,31,62,130,0.477,12,51,0.235,20,33,0.606,89,2.871,79,2.548,7,0.226,12,0.387,156,5.032,39,0,0,1736743,2018,1068
"Fuller, Seth",Fr.,2017-18,G,71,31,26,82,0.317,20,63,0.317,8,11,0.727,33,1.065,26,0.839,0,0.000,11,0.355,80,2.581,29,0,0,1844756,2018,1068
"George, Jack",Sr.,2017-18,F,82,4,2,2,1.000,0,0,0.000,0,0,0.000,2,0.500,0,0.000,0,0.000,0,0.000,4,1.000,0,0,0,1736738,2018,1068
"Kundrotas, Karolis",Jr.,2017-18,C,83,31,32,63,0.508,5,15,0.333,9,13,0.692,58,1.871,11,0.355,6,0.194,7,0.226,78,2.516,18,0,0,1736739,2018,1068
"Luther, Collin",Sr.,2017-18,F,78,15,3,8,0.375,0,4,0.000,0,3,0.000,15,1.000,6,0.400,0,0.000,3,0.200,6,0.400,2,0,0,1635977,2018,1068
"Priddy, Nathan",Fr.,2017-18,G,74,7,5,10,0.500,3,5,0.600,0,0,0.000,1,0.143,2,0.286,0,0.000,0,0.000,13,1.857,5,0,0,1951688,2018,1068
"Radja, Duje",Fr.,2017-18,F,80,6,4,7,0.571,0,1,0.000,0,0,0.000,4,0.667,0,0.000,0,0.000,1,0.167,8,1.333,0,0,0,1951687,2018,1068
"Santa Ana, Steven",Jr.,2017-18,G,76,32,108,251,0.430,53,147,0.361,40,62,0.645,141,4.406,62,1.938,8,0.250,25,0.781,309,9.656,58,0,0,1736740,2018,1068
"Seibring, Tyler",Jr.,2017-18,F,80,32,183,373,0.491,82,191,0.429,46,65,0.708,216,6.750,70,2.188,21,0.656,9,0.281,494,15.438,35,4,0,1736741,2018,1068
"Swoope, Dainan",Jr.,2017-18,G,72,32,116,338,0.343,64,212,0.302,89,108,0.824,99,3.094,126,3.938,8,0.250,32,1.000,385,12.031,70,0,0,1736742,2018,1068
"Thompson, Dmitri",Sr.,2017-18,G,76,32,133,293,0.454,49,128,0.383,77,102,0.755,171,5.344,72,2.250,6,0.188,22,0.688,392,12.250,50,2,0,1635889,2018,1068
"Wright, Simon",Fr.,2017-18,F,79,32,22,63,0.349,10,29,0.345,1,2,0.500,48,1.500,18,0.563,2,0.063,7,0.219,55,1.719,17,0,0,1951689,2018,1068
"Bibb-Boyd, Rudy",So.,2017-18,G,74,26,166,402,0.413,67,183,0.366,42,50,0.840,60,2.308,79,3.038,2,0.077,23,0.885,441,16.962,58,1,0,1846954,2018,9680
"Carlton, Koby",So.,2017-18,G,71,18,13,39,0.333,8,25,0.320,4,8,0.500,20,1.111,22,1.222,1,0.056,7,0.389,38,2.111,21,0,0,1845029,2018,9680
"Hawkins, Joshua",Jr.,2017-18,G,75,28,126,263,0.479,20,60,0.333,69,85,0.812,168,6.000,65,2.321,4,0.143,42,1.500,341,12.179,48,3,0,1956403,2018,9680
"Hunter, Cole",Jr.,2017-18,F,77,25,35,61,0.574,20,40,0.500,18,22,0.818,51,2.040,11,0.440,3,0.120,9,0.360,108,4.320,12,0,0,1737005,2018,9680
"Jenkins, Elijah",Fr.,2017-18,G,75,28,68,168,0.405,49,123,0.398,15,19,0.789,46,1.643,76,2.714,8,0.286,9,0.321,200,7.143,51,0,0,1956402,2018,9680
"Johnson, Brian",Sr.,2017-18,F,79,28,41,93,0.441,18,44,0.409,22,28,0.786,71,2.536,35,1.250,5,0.179,9,0.321,122,4.357,22,0,0,1737000,2018,9680
"Mackey, Nashad",Jr.,2017-18,F,78,28,153,317,0.483,35,91,0.385,143,161,0.888,351,12.536,56,2.000,20,0.714,30,1.071,484,17.286,41,23,0,1956412,2018,9680
"Majstorovic, Luka",Jr.,2017-18,C,81,28,130,231,0.563,4,11,0.364,56,94,0.596,179,6.393,34,1.214,37,1.321,13,0.464,320,11.429,64,4,0,1737004,2018,9680
"Mapes, Bradley",Sr.,2017-18,G,78,1,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,0,0,0,1737001,2018,9680
"McArthur, Shaquan",So.,2017-18,G,76,3,10,32,0.313,0,4,0.000,2,6,0.333,9,3.000,4,1.333,3,1.000,6,2.000,22,7.333,11,0,0,1845028,2018,9680
"Miljkovic, Ognjen",Sr.,2017-18,F,79,15,94,197,0.477,28,74,0.378,35,44,0.795,95,6.333,51,3.400,9,0.600,13,0.867,251,16.733,36,3,0,1737006,2018,9680
"Oakley, Scott",Fr.,2017-18,F,79,7,1,7,0.143,0,4,0.000,1,2,0.500,8,1.143,0,,1,0.143,0,,3,0.429,2,0,0,1956413,2018,9680
"Ellertson, Kent",So.,2017-18,G,78,9,4,14,0.286,2,10,0.200,2,2,1.000,12,1.333,1,0.111,0,,0,,12,1.333,2,0,0,1854105,2018,214
"Fitz, Corey",Sr.,2017-18,F,77,25,47,133,0.353,26,96,0.271,7,8,0.875,43,1.720,21,0.840,12,0.480,6,0.240,127,5.080,16,0,0,1636869,2018,214
"Gabert-Doyon, Ethan",Fr.,2017-18,G,72,25,24,65,0.369,3,20,0.150,18,22,0.818,41,1.640,32,1.280,2,0.080,7,0.280,69,2.760,31,0,0,1969736,2018,214
"Geary, John",Sr.,2017-18,F,77,20,45,120,0.375,28,80,0.350,8,16,0.500,57,2.850,23,1.150,0,,1,0.050,126,6.300,12,0,0,1635280,2018,214
"Gray, Geoffrey",Jr.,2017-18,G,73,25,187,376,0.497,51,133,0.383,103,126,0.817,237,9.480,105,4.200,4,0.160,21,0.840,528,21.120,59,12,1,1744511,2018,214
"Healy, Jack",Fr.,2017-18,G,74,5,3,8,0.375,1,2,0.500,1,2,0.500,3,0.600,0,,0,,1,0.200,8,1.600,2,0,0,1980114,2018,214
