opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Our Lady of the Lake,11/10/2017,69,68,Home,,,1177,,2018,26172
Baylor,11/13/2017,46,70,Away,,,4454,51,2018,26172
UTRGV,11/15/2017,75,82,Home,,1 OT,1437,536,2018,26172
Georgia,11/19/2017,65,68,Away,,,6220,257,2018,26172
UTSA,11/24/2017,58,72,Away,,,965,706,2018,26172
Texas St.,11/29/2017,53,66,Away,,,1548,670,2018,26172
Texas Lutheran,12/01/2017,80,42,Home,,1 OT,1072,1400,2018,26172
UTRGV,12/06/2017,78,82,Away,,,764,536,2018,26172
St. Mary's (TX),12/15/2017,71,55,Home,,,1007,1346,2018,26172
Ole Miss,12/19/2017,63,85,Away,,,6102,433,2018,26172
Central Ark.,12/28/2017,69,81,Away,,,548,1004,2018,26172
Lamar University,12/30/2017,72,77,Home,,,2472,346,2018,26172
Northwestern St.,01/03/2018,67,65,Home,,,1117,508,2018,26172
Sam Houston St.,01/10/2018,50,82,Home,,,1722,624,2018,26172
New Orleans,01/13/2018,55,61,Away,,,731,474,2018,26172
Nicholls St.,01/16/2018,61,91,Away,,,213,483,2018,26172
Abilene Christian,01/24/2018,80,66,Home,,,1435,2,2018,26172
Houston Baptist,01/27/2018,79,69,Home,,1 OT,1624,287,2018,26172
Southeastern La.,01/31/2018,67,54,Away,,,1023,655,2018,26172
Incarnate Word,02/03/2018,56,51,Away,,,1532,2743,2018,26172
Sam Houston St.,02/07/2018,64,66,Away,,,1123,624,2018,26172
New Orleans,02/10/2018,53,62,Home,,,3317,474,2018,26172
SFA,02/14/2018,68,87,Home,,,1216,676,2018,26172
Lamar University,02/17/2018,76,79,Away,,,1953,346,2018,26172
Abilene Christian,02/22/2018,76,67,Away,,,1221,2,2018,26172
Incarnate Word,02/24/2018,62,69,Home,,,1970,2743,2018,26172
McNeese,02/28/2018,82,70,Home,,,1235,402,2018,26172
Houston Baptist,03/03/2018,92,87,Away,,,842,287,2018,26172
New Orleans,03/07/2018,76,83,Neutral,"Merrell Center - Katy, Texas",,970,474,2018,26172
Randall,11/10/2017,86,68,Home,,,1117,,2018,2
Arkansas St.,11/13/2017,69,83,Away,,,2730,30,2018,2
Howard Payne,11/16/2017,112,62,Home,,,1016,2741,2018,2
Lipscomb,11/20/2017,67,75,Home,,,1187,28600,2018,2
Campbell,11/24/2017,85,80,Away,,1 OT,1083,115,2018,2
USC Upstate,11/25/2017,78,88,Neutral,"Buies Creek, NC (Pope Center/Gore Arena)",,1208,10411,2018,2
Bowling Green,11/26/2017,88,83,Neutral,"Buies Creek, NC (Pope Center/Gore Arena)",,450,71,2018,2
Schreiner,12/02/2017,71,43,Home,,,1202,1355,2018,2
Air Force,12/06/2017,62,58,Away,,,1602,721,2018,2
Texas St.,12/09/2017,72,68,Home,,,1356,670,2018,2
Lipscomb,12/17/2017,65,67,Away,,,1205,28600,2018,2
Arlington Baptist,12/19/2017,109,60,Home,,,1219,,2018,2
Texas Tech,12/22/2017,47,74,Away,,,7907,700,2018,2
New Orleans,12/28/2017,74,77,Away,,,528,474,2018,2
Sam Houston St.,12/30/2017,75,72,Home,,,1125,624,2018,2
McNeese,01/03/2018,79,74,Home,,,1183,402,2018,2
Southeastern La.,01/06/2018,70,72,Home,,,1106,655,2018,2
Houston Baptist,01/10/2018,82,74,Away,,,576,287,2018,2
Northwestern St.,01/13/2018,69,58,Away,,,820,508,2018,2
SFA,01/17/2018,66,76,Home,,,1972,676,2018,2
Central Ark.,01/20/2018,80,63,Away,,,1317,1004,2018,2
A&M-Corpus Christi,01/24/2018,66,80,Away,,,1435,26172,2018,2
Lamar University,01/31/2018,74,69,Home,,,1131,346,2018,2
Sam Houston St.,02/03/2018,77,84,Away,,,1078,624,2018,2
Nicholls St.,02/07/2018,65,69,Home,,,1207,483,2018,2
Incarnate Word,02/10/2018,80,69,Home,,,1210,2743,2018,2
Southeastern La.,02/17/2018,54,68,Away,,,1011,655,2018,2
A&M-Corpus Christi,02/22/2018,67,76,Home,,,1221,26172,2018,2
Central Ark.,02/24/2018,72,74,Home,,,1450,1004,2018,2
SFA,02/28/2018,56,76,Away,,,2912,676,2018,2
Incarnate Word,03/03/2018,69,59,Away,,,1256,2743,2018,2
Drake,03/12/2018,73,80,Away,,1 OT,3565,189,2018,2
San Fran. St.,11/10/2017,65,72,Neutral,"San Rafael, Calif.",,123,628,2018,30123
Stanislaus St.,11/11/2017,69,79,Neutral,"San Rafael, Calif.",,89,103,2018,30123
Northwest Nazarene,11/17/2017,76,84,Away,,,572,1274,2018,30123
Concordia Portland,11/18/2017,71,78,Neutral,"Nampa, Idaho",,50,30200,2018,30123
Saint Martin's,11/24/2017,67,77,Neutral,"Riverside, Calif.",,263,1343,2018,30123
Missouri S&T,11/25/2017,70,50,Neutral,"Riverside, Calif.",,402,435,2018,30123
Azusa Pacific,11/30/2017,57,74,Away,,,516,30146,2018,30123
Dixie St.,12/02/2017,62,74,Away,,,1818,30095,2018,30123
Notre Dame de Namur,12/06/2017,65,56,Home,,,310,30056,2018,30123
Holy Names,12/10/2017,76,58,Away,,,88,30175,2018,30123
Point Loma,12/18/2017,60,64,Home,,,53,30149,2018,30123
Fresno Pacific,12/30/2017,58,57,Away,,,109,30147,2018,30123
Hawaii Pacific,01/03/2018,57,81,Away,,,193,2696,2018,30123
Hawaii Hilo,01/05/2018,74,64,Away,,,731,2697,2018,30123
Dominican (CA),01/10/2018,81,74,Home,,,70,30118,2018,30123
Holy Names,01/13/2018,69,66,Home,,,85,30175,2018,30123
Chaminade,01/15/2018,77,91,Home,,,110,133,2018,30123
Dixie St.,01/20/2018,47,61,Home,,,115,30095,2018,30123
Dominican (CA),01/27/2018,74,63,Away,,,141,30118,2018,30123
Biola,01/29/2018,77,73,Home,,,75,30220,2018,30123
Point Loma,02/03/2018,55,86,Away,,,284,30149,2018,30123
California Baptist,02/05/2018,82,95,Away,,,1559,30135,2018,30123
Hawaii Pacific,02/12/2018,67,66,Home,,,295,2696,2018,30123
Notre Dame de Namur,02/17/2018,75,44,Away,,,135,30056,2018,30123
Fresno Pacific,02/22/2018,69,71,Home,,,63,30147,2018,30123
Concordia (CA),02/24/2018,81,79,Home,,2 OT,120,30199,2018,30123
West Tex. A&M,11/10/2017,69,90,Away,,,1098,767,2018,929
Tex. Permian Basin,11/11/2017,115,125,Away,,2 OT,326,30088,2018,929
Northern N.M.,11/14/2017,111,84,Home,,,323,,2018,929
West Tex. A&M,11/17/2017,88,92,Neutral,"Pueblo, Colo. (Massari Arena)",,512,767,2018,929
Tex. A&M-Kingsville,11/18/2017,73,75,Neutral,"Pueblo, Colo. (Massari Arena)",,457,696,2018,929
Cal St. Dom. Hills,11/24/2017,83,82,Neutral,"Moanalua High School, Honolulu, Hawaii",,95,92,2018,929
Hawaii Pacific,11/25/2017,82,80,Away,,,196,2696,2018,929
Hawaii,11/27/2017,77,87,Away,,,4515,277,2018,929
N.M. Highlands,12/01/2017,85,82,Away,,,150,8577,2018,929
Colorado St.-Pueblo,12/02/2017,92,84,Away,,,1012,2720,2018,929
Western St.,12/08/2017,94,81,Home,,,532,2759,2018,929
Colorado Mesa,12/09/2017,87,90,Home,,1 OT,534,11416,2018,929
Fort Lewis,12/12/2017,96,103,Away,,1 OT,989,1083,2018,929
Westminster (UT),12/16/2017,77,93,Away,,,332,30209,2018,929
Colo. Christian,12/29/2017,85,83,Home,,,523,11403,2018,929
Chadron St.,12/30/2017,75,74,Home,,,545,1012,2018,929
UC-Colo. Springs,01/05/2018,81,83,Home,,,405,9754,2018,929
MSU Denver,01/06/2018,80,62,Home,,,523,413,2018,929
South Dakota Mines,01/12/2018,80,70,Away,,,887,30139,2018,929
Black Hills St.,01/13/2018,65,67,Away,,,599,30134,2018,929
Chadron St.,01/19/2018,82,70,Away,,,624,1012,2018,929
Regis (CO),01/20/2018,69,89,Away,,,318,568,2018,929
Colo. Sch. of Mines,01/27/2018,60,54,Home,,,589,155,2018,929
Colorado St.-Pueblo,02/02/2018,85,81,Home,,,589,2720,2018,929
N.M. Highlands,02/03/2018,81,63,Home,,,554,8577,2018,929
Colorado Mesa,02/09/2018,96,83,Away,,,921,11416,2018,929
Western St.,02/10/2018,87,98,Away,,,332,2759,2018,929
Colo. Christian,02/16/2018,91,86,Away,,,175,11403,2018,929
Fort Lewis,02/20/2018,107,93,Home,,,688,1083,2018,929
Westminster (UT),02/22/2018,78,84,Home,,,594,30209,2018,929
MSU Denver,02/27/2018,64,61,Home,,,978,413,2018,929
Fort Lewis,03/02/2018,74,87,Away,,,1500,1083,2018,929
Post,11/11/2017,109,82,Neutral,"Bridgeport, Conn.-Hubbell Gym",,133,1318,2018,3
Bridgeport,11/12/2017,90,104,Away,,,303,74,2018,3
Pace,11/15/2017,96,102,Away,,,327,533,2018,3
New Haven,11/18/2017,79,84,Home,,,311,470,2018,3
Le Moyne,11/21/2017,73,85,Home,,,151,349,2018,3
Queens (NY),11/29/2017,86,92,Away,,,100,560,2018,3
Southern Conn. St.,12/02/2017,86,82,Home,,,275,658,2018,3
NYIT,12/04/2017,91,85,Away,,,289,477,2018,3
Saint Rose,12/06/2017,59,75,Away,,,484,1347,2018,3
American Int'l,12/09/2017,96,98,Away,,,145,22,2018,3
Felician,12/11/2017,99,90,Away,,,144,23157,2018,3
Goldey-Beacom,12/16/2017,111,113,Away,,,165,8366,2018,3
Molloy,12/19/2017,110,77,Away,,,71,437,2018,3
St. Thomas Aquinas,12/30/2017,75,92,Away,,,450,1348,2018,3
Assumption,01/03/2018,69,79,Home,,,177,36,2018,3
St. Anselm,01/06/2018,92,97,Away,,,399,593,2018,3
Merrimack,01/09/2018,89,92,Away,,1 OT,250,410,2018,3
Saint Michael's,01/13/2018,106,74,Home,,,228,613,2018,3
Bentley,01/17/2018,81,83,Away,,1 OT,189,56,2018,3
Franklin Pierce,01/20/2018,72,80,Away,,,146,241,2018,3
Southern N.H.,01/23/2018,98,89,Home,,,527,468,2018,3
Stonehill,01/27/2018,97,89,Home,,,427,682,2018,3
Le Moyne,01/31/2018,54,69,Away,,,1169,349,2018,3
New Haven,02/03/2018,73,76,Away,,,385,470,2018,3
Saint Rose,02/06/2018,88,62,Home,,,544,1347,2018,3
Pace,02/10/2018,85,67,Home,,,433,533,2018,3
Southern Conn. St.,02/14/2018,68,79,Away,,,679,658,2018,3
American Int'l,02/20/2018,78,77,Home,,,525,22,2018,3
Stonehill,02/23/2018,74,85,Away,,,348,682,2018,3
Anderson (IN),11/17/2017,79,104,Away,,,1163,939,2018,4
Manchester,11/18/2017,91,72,Away,,,377,1192,2018,4
Spalding,11/26/2017,71,52,Away,,,313,23260,2018,4
Capital,11/29/2017,55,52,Home,,,255,117,2018,4
